DATE,UNRATE,CPIAUCSL,GDP
1947-01-01,5.698469945355192,21.48,243.164
1947-02-01,5.698469945355192,21.62,7159.388886363636
1947-03-01,5.698469945355192,22.0,7159.388886363636
1947-04-01,5.698469945355192,22.0,245.968
1947-05-01,5.698469945355192,21.95,7159.388886363636
1947-06-01,5.698469945355192,22.08,7159.388886363636
1947-07-01,5.698469945355192,22.23,249.585
1947-08-01,5.698469945355192,22.4,7159.388886363636
1947-09-01,5.698469945355192,22.84,7159.388886363636
1947-10-01,5.698469945355192,22.91,259.745
1947-11-01,5.698469945355192,23.06,7159.388886363636
1947-12-01,5.698469945355192,23.41,7159.388886363636
1948-01-01,3.4,23.68,265.742
1948-02-01,3.8,23.67,7159.388886363636
1948-03-01,4.0,23.5,7159.388886363636
1948-04-01,3.9,23.82,272.567
1948-05-01,3.5,24.01,7159.388886363636
1948-06-01,3.6,24.15,7159.388886363636
1948-07-01,3.6,24.4,279.196
1948-08-01,3.9,24.43,7159.388886363636
1948-09-01,3.8,24.36,7159.388886363636
1948-10-01,3.7,24.31,280.366
1948-11-01,3.8,24.16,7159.388886363636
1948-12-01,4.0,24.05,7159.388886363636
1949-01-01,4.3,24.01,275.034
1949-02-01,4.7,23.91,7159.388886363636
1949-03-01,5.0,23.91,7159.388886363636
1949-04-01,5.3,23.92,271.351
1949-05-01,6.1,23.91,7159.388886363636
1949-06-01,6.2,23.92,7159.388886363636
1949-07-01,6.7,23.7,272.889
1949-08-01,6.8,23.7,7159.388886363636
1949-09-01,6.6,23.75,7159.388886363636
1949-10-01,7.9,23.67,270.627
1949-11-01,6.4,23.7,7159.388886363636
1949-12-01,6.6,23.61,7159.388886363636
1950-01-01,6.5,23.51,280.828
1950-02-01,6.4,23.61,7159.388886363636
1950-03-01,6.3,23.64,7159.388886363636
1950-04-01,5.8,23.65,290.383
1950-05-01,5.5,23.77,7159.388886363636
1950-06-01,5.4,23.88,7159.388886363636
1950-07-01,5.0,24.07,308.153
1950-08-01,4.5,24.2,7159.388886363636
1950-09-01,4.4,24.34,7159.388886363636
1950-10-01,4.2,24.5,319.945
1950-11-01,4.2,24.6,7159.388886363636
1950-12-01,4.3,24.98,7159.388886363636
1951-01-01,3.7,25.38,336.0
1951-02-01,3.4,25.83,7159.388886363636
1951-03-01,3.4,25.88,7159.388886363636
1951-04-01,3.1,25.92,344.09
1951-05-01,3.0,25.99,7159.388886363636
1951-06-01,3.2,25.93,7159.388886363636
1951-07-01,3.1,25.91,351.385
1951-08-01,3.1,25.86,7159.388886363636
1951-09-01,3.3,26.03,7159.388886363636
1951-10-01,3.5,26.16,356.178
1951-11-01,3.5,26.32,7159.388886363636
1951-12-01,3.1,26.47,7159.388886363636
1952-01-01,3.2,26.45,359.82
1952-02-01,3.1,26.41,7159.388886363636
1952-03-01,2.9,26.39,7159.388886363636
1952-04-01,2.9,26.46,361.03
1952-05-01,3.0,26.47,7159.388886363636
1952-06-01,3.0,26.53,7159.388886363636
1952-07-01,3.2,26.68,367.701
1952-08-01,3.4,26.69,7159.388886363636
1952-09-01,3.1,26.63,7159.388886363636
1952-10-01,3.0,26.69,380.812
1952-11-01,2.8,26.69,7159.388886363636
1952-12-01,2.7,26.71,7159.388886363636
1953-01-01,2.9,26.64,387.98
1953-02-01,2.6,26.59,7159.388886363636
1953-03-01,2.6,26.63,7159.388886363636
1953-04-01,2.7,26.69,391.749
1953-05-01,2.5,26.7,7159.388886363636
1953-06-01,2.5,26.77,7159.388886363636
1953-07-01,2.6,26.79,391.171
1953-08-01,2.7,26.85,7159.388886363636
1953-09-01,2.9,26.89,7159.388886363636
1953-10-01,3.1,26.95,385.97
1953-11-01,3.5,26.85,7159.388886363636
1953-12-01,4.5,26.87,7159.388886363636
1954-01-01,4.9,26.94,385.345
